descricao;idItem;numero;quantidade;situacao;unidadeMedida;valorTotal;valorUnitario;origem_arquivo
Luva cirurgica LÃ¡tex tamanho 8,0;1265058;309;1650;ATIVO;PACOTE;1600.5;0.97;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Luva NitrÃ­lica nÃ£o esteril para procedimento tamanho P.;1265059;310;130;ATIVO;CAIXA;2106.0;16.2;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Otosporin - suspensÃ£o;1265060;320;100;ATIVO;FRASCO;1170.0;11.7;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Cimento dentÃ¡rio;1265061;322;20;ATIVO;UNIDADE;3110.0;155.5;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
PAPEL DE ARTICULAÃÃO;1265062;325;350;ATIVO;BLOCO;2135.0;6.1;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Pavio para lamparina;1265063;333;2;ATIVO;PACOTE;7.98;3.99;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Pedra pomes extra fina;1265064;335;50;ATIVO;POTE;312.5;6.25;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Placa de vidro lapidada;1265065;338;40;ATIVO;UNIDADE;220.8;5.52;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
RESINA FOTOPOLIMERIZÃVEL COR A1;1265066;353;180;ATIVO;SERINGA;6579.0;36.55;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
RESINA FOTOPOLIMERIZAVEL COR A2;1265067;354;400;ATIVO;SERINGA;14700.0;36.75;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Resina composta fotoativada de baixa viscosidade na cor A3;1265068;359;100;ATIVO;SERINGA;2590.0;25.9;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
SERINGA DESCARTAVEL 20 ML;1265069;365;550;ATIVO;CAIXA;330.0;0.6;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Spray congelante -50Âº;1265070;366;40;ATIVO;FRASCO;1080.0;27.0;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Sugador de saliva descartÃ¡vel;1265071;369;1600;ATIVO;PACOTE;7520.0;4.7;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Tamborel Endometric;1265072;372;2;ATIVO;UNIDADE;23.94;11.97;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Pasta Zinco-EnÃ³lica;1265073;387;50;ATIVO;kit;1559.0;31.18;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Pasta Para Solda de Prata;1265074;396;15;ATIVO;UNIDADE;132.0;8.8;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
COLGADURA INDIVIDUAL;1265075;443;40;ATIVO;UNIDADE;118.0;2.95;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
Kit odontolÃ³gico de higiene dental infantil -;1265076;262;3750;ATIVO;kit;25875.0;6.9;itens_060287af-e56d-4640-a182-2bd9e509ac4c.csv
